CASE_GROUP_ID	STUDENT_ID	ACTION	ERROR	PRE_STATE	POST_STATE	STATE_LABEL	ACTION_LABEL	GOAL
Boisvert_Fall_2009	6.5728E+11	MT~	0	K,K>M,M,Z>R,~(K>R),~(~KvR),~R,~~K,~~K&~R\M&~Z,M,~Z	K,K>M,M,Z>R,~(K>R),~(~KvR),~R,~Z,~~K,~~K&~R\M&~Z,M,~Z	~Z	MT~	1
Boisvert_Fall_2009	6.5728E+11	IMPL&	0	K>M,Z>R,~(K>R)\M&~Z	K>M,Z>R,~(K>R),~(~KvR)\M&~Z	~(~KvR)	IMPL&	0
Boisvert_Fall_2009	6.5728E+11	DEM	0	K>M,Z>R,~(K>R),~(~KvR)\M&~Z	K>M,Z>R,~(K>R),~(~KvR),~~K&~R\M&~Z	~~K&~R	DEM	0
Boisvert_Fall_2009	6.5728E+11	SIMP	0	K>M,Z>R,~(K>R),~(~KvR),~~K&~R\M&~Z	K>M,Z>R,~(K>R),~(~KvR),~~K,~~K&~R\M&~Z	~~K	SIMP	0
Boisvert_Fall_2009	6.5728E+11	SIMP	0	K>M,Z>R,~(K>R),~(~KvR),~~K,~~K&~R\M&~Z	K>M,Z>R,~(K>R),~(~KvR),~R,~~K,~~K&~R\M&~Z	~R	SIMP	0
Boisvert_Fall_2009	6.5728E+11	DN	0	K>M,Z>R,~(K>R),~(~KvR),~R,~~K,~~K&~R\M&~Z	K,K>M,Z>R,~(K>R),~(~KvR),~R,~~K,~~K&~R\M&~Z	K	DN	0
Boisvert_Fall_2009	6.5728E+11	MT	0	K,K>M,Z>R,~(K>R),~(~KvR),~R,~~K,~~K&~R\M&~Z	K,K>M,Z>R,~(K>R),~(~KvR),~R,~Z,~~K,~~K&~R\M&~Z	~Z	MT	0
Boisvert_Fall_2009	6.5728E+11	MP	0	K,K>M,Z>R,~(K>R),~(~KvR),~R,~Z,~~K,~~K&~R\M&~Z	K,K>M,M,Z>R,~(K>R),~(~KvR),~R,~Z,~~K,~~K&~R\M&~Z	M	MP	0
Boisvert_Fall_2009	6.5728E+11	CONJ~	0	K,K>M,M,Z>R,~(K>R),~(~KvR),~R,~Z,~~K,~~K&~R\M&~Z	K,K>M,M,M&~Z,Z>R,~(K>R),~(~KvR),~R,~Z,~~K,~~K&~R\M&~Z	M&~Z	CONJ~	1
Boisvert_Fall_2009	6.5728E+11	DEM&	19	K>M,Z>R,~(K>R)\M&~Z	K>M,Z>R,~(K>R)\M&~Z		DEM&	0
Boisvert_Fall_2009	6.5728E+11	IMPL	0	K>M,Z>R,~(K>R)\M&~Z	K>M,Z>R,~(K>R),~(~KvR)\M&~Z	~(~KvR)	IMPL	0
Boisvert_Fall_2009	6.5728E+11	DEM	0	K>M,Z>R,~(K>R),~(~KvR)\M&~Z	K>M,Z>R,~(K>R),~(~KvR),~~K&~R\M&~Z	~~K&~R	DEM	0
Boisvert_Fall_2009	6.5728E+11	SIMP	0	K>M,Z>R,~(K>R),~(~KvR),~~K&~R\M&~Z	K>M,Z>R,~(K>R),~(~KvR),~~K,~~K&~R\M&~Z	~~K	SIMP	0
Boisvert_Fall_2009	6.5728E+11	SIMP	0	K>M,Z>R,~(K>R),~(~KvR),~~K,~~K&~R\M&~Z	K>M,Z>R,~(K>R),~(~KvR),~R,~~K,~~K&~R\M&~Z	~R	SIMP	0
Boisvert_Fall_2009	6.5728E+11	DN	0	K>M,Z>R,~(K>R),~(~KvR),~R,~~K,~~K&~R\M&~Z	K,K>M,Z>R,~(K>R),~(~KvR),~R,~~K,~~K&~R\M&~Z	K	DN	0
Boisvert_Fall_2009	6.5728E+11	MP	0	K,K>M,Z>R,~(K>R),~(~KvR),~R,~~K,~~K&~R\M&~Z	K,K>M,M,Z>R,~(K>R),~(~KvR),~R,~~K,~~K&~R\M&~Z	M	MP	0
Boisvert_Fall_2009	6.5728E+11	MT	0	K,K>M,M,Z>R,~(K>R),~(~KvR),~R,~~K,~~K&~R\M&~Z	K,K>M,M,Z>R,~(K>R),~(~KvR),~R,~Z,~~K,~~K&~R\M&~Z	~Z	MT	0
Boisvert_Fall_2009	6.5728E+11	CONJ~	0	K,K>M,M,Z>R,~(K>R),~(~KvR),~R,~Z,~~K,~~K&~R\M&~Z	K,K>M,M,M&~Z,Z>R,~(K>R),~(~KvR),~R,~Z,~~K,~~K&~R\M&~Z	M&~Z	CONJ~	1
Boisvert_Fall_2009	6.57286E+15	TRANS&	19	K>M,Z>R,~(K>R)\M&~Z	K>M,Z>R,~(K>R)\M&~Z		TRANS&	0
Boisvert_Fall_2009	6.57286E+15	SIMP	0	K>M,Z>R,~(K>R)\M&~Z	K>M,Z>R,~(K>R)\M&~Z,p&(M&~Z)	p&(M&~Z)	SIMP	0
Boisvert_Fall_2009	6.57286E+15	TRANS&	19	K>M,Z>R,~(K>R)\M&~Z	K>M,Z>R,~(K>R)\M&~Z		TRANS&	0
Boisvert_Fall_2009	6.57286E+15	HS	19	K>M,Z>R,~(K>R)\M&~Z	K>M,Z>R,~(K>R)\M&~Z		HS	0
Boisvert_Fall_2009	6.57286E+15	CONJ	0	K>M,Z>R,~(K>R)\M&~Z	(K>M)&(Z>R),K>M,Z>R,~(K>R)\M&~Z	(K>M)&(Z>R)	CONJ	0
Boisvert_Fall_2009	6.57286E+15	CD	1	(K>M)&(Z>R),K>M,Z>R,~(K>R)\M&~Z	(K>M)&(Z>R),K>M,Z>R,~(K>R)\M&~Z		CD	0
Boisvert_Fall_2009	6.57286E+15	CD	1	(K>M)&(Z>R),K>M,Z>R,~(K>R)\M&~Z	(K>M)&(Z>R),K>M,Z>R,~(K>R)\M&~Z		CD	0
Boisvert_Fall_2009	6.57286E+15	Constr	0	(K>M)&(Z>R),K>M,Z>R,~(K>R)\M&~Z	(K>M)&(Z>R),K>M,Z>R,~(K>R)\M&~Z		Constr	0
Boisvert_Fall_2009	6.57286E+15	DS	0	(K>M)&(Z>R),K>M,Z>R,~(K>R)\M&~Z	(K>M)&(Z>R),K>M,Z>R,~(K>R)\M&~Z,pv(M&~Z),~p	pv(M&~Z),~p	DS	0
Boisvert_Fall_2009	6.57286E+15	INST	0	(K>M)&(Z>R),K>M,Z>R,~(K>R)\M&~Z,pv(M&~Z),~p	(K>M)&(Z>R),K>M,Z>R,~(K>R)\Kv(M&~Z),~K,M&~Z	Kv(M&~Z),~K	INST	0
Boisvert_Fall_2009	6.7687E+15	IMPL&	0	K>M,Z>R,~(K>R)\M&~Z	K>M,Z>R,~(K>R),~ZvR\M&~Z	~ZvR	IMPL&	0
Boisvert_Fall_2009	6.7687E+15	TRANS	19	K>M,Z>R,~(K>R),~ZvR\M&~Z	K>M,Z>R,~(K>R),~ZvR\M&~Z		TRANS	0
Boisvert_Fall_2009	6.7687E+15	IMPL	19	K>M,Z>R,~(K>R),~ZvR\M&~Z	K>M,Z>R,~(K>R),~ZvR\M&~Z		IMPL	0
Boisvert_Fall_2009	6.7687E+15	IMPL	0	K>M,Z>R,~(K>R),~ZvR\M&~Z	K>M,Z>R,~(K>R),~(~KvR),~ZvR\M&~Z	~(~KvR)	IMPL	0
Boisvert_Fall_2009	6.7687E+15	IMPL	0	K>M,Z>R,~(K>R),~(~KvR),~ZvR\M&~Z	K>M,Z>R,~(K>R),~(~KvR),~KvM,~ZvR\M&~Z	~KvM	IMPL	0
Boisvert_Fall_2009	6.7687E+15	DN	0	K>M,Z>R,~(K>R),~(~KvR),~KvM,~ZvR\M&~Z	K>M,Z>R,~(K>R),~(~KvR),~KvM,~Kv~~M,~ZvR\M&~Z	~Kv~~M	DN	0
Boisvert_Fall_2009	6.7687E+15	DEM	0	K>M,Z>R,~(K>R),~(~KvR),~KvM,~Kv~~M,~ZvR\M&~Z	K>M,Z>R,~(K&~M),~(K>R),~(~KvR),~KvM,~Kv~~M,~ZvR\M&~Z	~(K&~M)	DEM	0
Boisvert_Fall_2009	6.7687E+15	DN	0	K>M,Z>R,~(K&~M),~(K>R),~(~KvR),~KvM,~Kv~~M,~ZvR\M&~Z	K>M,Z>R,~(K&~M),~(K>R),~(~KvR),~KvM,~Kv~~M,~ZvR,~Zv~~R\M&~Z	~Zv~~R	DN	0
Boisvert_Fall_2009	6.7687E+15	DEM	0	K>M,Z>R,~(K&~M),~(K>R),~(~KvR),~KvM,~Kv~~M,~ZvR,~Zv~~R\M&~Z	K>M,Z>R,~(K&~M),~(K>R),~(~KvR),~KvM,~Kv~~M,~ZvR,~Zv~~R,~~K&~R\M&~Z	~~K&~R	DEM	0
Boisvert_Fall_2009	6.7687E+15	SIMP	0	K>M,Z>R,~(K&~M),~(K>R),~(~KvR),~KvM,~Kv~~M,~ZvR,~Zv~~R,~~K&~R\M&~Z	K>M,Z>R,~(K&~M),~(K>R),~(~KvR),~KvM,~Kv~~M,~R,~ZvR,~Zv~~R,~~K&~R\M&~Z	~R	SIMP	0
Boisvert_Fall_2009	6.7687E+15	Del	0	K>M,Z>R,~(K&~M),~(K>R),~(~KvR),~KvM,~Kv~~M,~R,~ZvR,~Zv~~R,~~K&~R\M&~Z	K>M,Z>R,~(K&~M),~(K>R),~(~KvR),~KvM,~Kv~~M,~R,~ZvR,~~K&~R\M&~Z		Del	0
Boisvert_Fall_2009	6.7687E+15	DS	0	K>M,Z>R,~(K&~M),~(K>R),~(~KvR),~KvM,~Kv~~M,~R,~ZvR,~~K&~R\M&~Z	K>M,Z>R,~(K&~M),~(K>R),~(~KvR),~KvM,~Kv~~M,~R,~Z,~ZvR,~~K&~R\M&~Z	~Z	DS	0
Boisvert_Fall_2009	6.7687E+15	ADD	0	K>M,Z>R,~(K&~M),~(K>R),~(~KvR),~KvM,~Kv~~M,~R,~Z,~ZvR,~~K&~R\M&~Z	K>M,Z>R,~(K&~M),~(K>R),~(~KvR),~KvM,~Kv~~M,~R,~Z,~ZvM,~ZvR,~~K&~R\M&~Z	~ZvM	ADD	0
Boisvert_Fall_2009	6.7687E+15	Del	0	K>M,Z>R,~(K&~M),~(K>R),~(~KvR),~KvM,~Kv~~M,~R,~Z,~ZvM,~ZvR,~~K&~R\M&~Z	K>M,Z>R,~(K&~M),~(K>R),~(~KvR),~KvM,~Kv~~M,~R,~Z,~ZvR,~~K&~R\M&~Z		Del	0
Boisvert_Fall_2009	6.7687E+15	DEM	0	K>M,Z>R,~(K&~M),~(K>R),~(~KvR),~KvM,~Kv~~M,~R,~Z,~ZvR,~~K&~R\M&~Z	K>M,Z>R,~(K&~M),~(K>R),~(~KvR),~KvM,~Kv~~M,~R,~Z,~ZvR,~~K&~R\M&~Z	~Kv~~M	DEM	0
Boisvert_Fall_2009	6.7687E+15	SIMP	0	K>M,Z>R,~(K&~M),~(K>R),~(~KvR),~KvM,~Kv~~M,~R,~Z,~ZvR,~~K&~R\M&~Z	K>M,Z>R,~(K&~M),~(K>R),~(~KvR),~KvM,~Kv~~M,~R,~Z,~ZvR,~~K,~~K&~R\M&~Z	~~K	SIMP	0
Boisvert_Fall_2009	6.7687E+15	DN	0	K>M,Z>R,~(K&~M),~(K>R),~(~KvR),~KvM,~Kv~~M,~R,~Z,~ZvR,~~K,~~K&~R\M&~Z	K,K>M,Z>R,~(K&~M),~(K>R),~(~KvR),~KvM,~Kv~~M,~R,~Z,~ZvR,~~K,~~K&~R\M&~Z	K	DN	0
